Day,Month,Year,soil_moisture,Probe
25,5,2014,56.52548611,12699
25,6,2013,54.18680556,12699
25,7,2013,52.95951389,12699
25,8,2013,52.1875,12699
25,9,2013,51.54826389,12699
25,10,2012,25.46888889,12699
25,10,2013,27.64104167,12699
25,11,2012,25.39027778,12699
25,11,2013,28.50090278,12699
25,12,2012,25.31590278,12699
26,1,2014,54.58805556,12699
26,2,2014,67.66465278,12699
26,3,2013,34.44722222,12699
26,3,2014,68.64736111,12699
26,4,2013,58.99182244,12699
26,4,2014,59.24868056,12699
26,5,2013,56.00923611,12699
26,5,2014,56.465625,12699
26,6,2013,54.15013889,12699
26,7,2013,52.90756944,12699
26,8,2013,52.18444444,12699
26,9,2013,51.56381944,12699
26,10,2012,25.42798611,12699
26,10,2013,27.63027778,12699
26,11,2012,25.38027778,12699
26,11,2013,28.45423611,12699
26,12,2012,25.31875,12699
27,1,2014,55.52569444,12699
27,2,2014,67.37138889,12699
27,3,2013,34.333125,12699
27,3,2014,68.245625,12699
27,4,2013,58.89527778,12699
27,4,2014,59.07805556,12699
27,5,2013,55.92680556,12699
27,5,2014,56.38673611,12699
27,6,2013,54.11333333,12699
27,7,2013,52.85104167,12699
27,8,2013,52.14888889,12699
27,9,2013,51.55131944,12699
27,10,2012,25.39,12699
27,10,2013,27.62493056,12699
27,11,2012,25.36763889,12699
27,11,2013,28.398125,12699
27,12,2012,25.32833333,12699
28,1,2014,61.97,12699
28,2,2014,66.96144928,12699
28,3,2013,34.18833333,12699
28,3,2014,67.91569444,12699
28,4,2013,58.85409722,12699
28,4,2014,58.85576389,12699
28,5,2013,55.83965278,12699
28,5,2014,56.30673611,12699
28,6,2013,54.09298611,12699
28,7,2013,52.79458333,12699
28,8,2013,52.13152778,12699
28,9,2013,51.53652778,12699
28,10,2012,25.36194444,12699
28,10,2013,27.628125,12699
28,11,2012,25.33826389,12699
28,11,2013,28.40307692,12699
28,12,2012,25.33055556,12699
29,1,2014,62.90777778,12699
29,3,2013,34.05020833,12699
29,3,2014,67.58930556,12699
29,4,2013,58.82208333,12699
29,4,2014,58.71388889,12699
29,5,2013,55.79965278,12699
29,5,2014,56.22861111,12699
29,6,2013,54.05333333,12699
29,7,2013,52.78673611,12699
29,8,2013,52.14229167,12699
29,9,2013,51.44472222,12699
29,10,2012,25.35486111,12699
29,10,2013,27.63451389,12699
29,11,2012,25.33291667,12699
29,12,2012,25.32590278,12699
30,1,2014,63.49868056,12699
30,3,2013,33.87416667,12699
30,3,2014,67.11861111,12699
30,4,2013,58.78229167,12699
30,4,2014,58.56246377,12699
30,5,2013,55.70666667,12699
30,5,2014,56.16590278,12699
30,6,2013,53.98583333,12699
30,7,2013,52.74597222,12699
30,8,2013,52.15784722,12699
30,9,2013,51.29041667,12699
30,10,2012,25.34881944,12699
30,10,2013,27.64277778,12699
30,11,2012,25.3175,12699
30,12,2012,25.32479167,12699
31,1,2014,70.89862319,12699
31,3,2013,33.66645833,12699
31,3,2014,66.73355072,12699
31,5,2013,55.60402778,12699
31,5,2014,56.1484058,12699
31,7,2013,52.67471014,12699
31,8,2013,52.16189485,12699
31,10,2012,25.32979167,12699
31,10,2013,27.64076389,12699
31,12,2012,25.32833333,12699
1,1,2013,41.96465278,20916
1,1,2014,77.77715278,20916
1,2,2013,28.92486111,20916
1,2,2014,84.68638889,20916
1,3,2013,44.00460938,20916
1,4,2013,43.92701389,20916
1,5,2013,68.90824972,20916
1,6,2013,76.476875,20916
1,7,2013,74.92208333,20916
1,8,2013,73.61888889,20916
1,9,2013,41.51583333,20916
1,10,2012,40.95298611,20916
1,10,2013,72.43965278,20916
1,11,2012,41.28354167,20916
1,11,2013,73.07023076,20916
1,12,2012,41.64694444,20916
1,12,2013,66.42166667,20916
2,1,2013,41.96083333,20916
2,1,2014,77.73895833,20916
2,2,2013,28.99430556,20916
2,2,2014,83.91722222,20916
2,3,2013,43.8864881,20916
2,4,2013,43.92097222,20916
2,5,2013,68.88770833,20916
2,6,2013,76.41715278,20916
2,7,2013,74.85652778,20916
2,8,2013,73.59034722,20916
2,9,2013,41.50555556,20916
2,10,2012,40.99229167,20916
2,10,2013,72.41870952,20916
2,11,2012,41.29055556,20916
2,11,2013,73.57074027,20916
2,12,2012,41.65854167,20916
2,12,2013,66.43833333,20916
3,1,2013,41.98194444,20916
3,1,2014,77.66152778,20916
3,2,2013,29.05145833,20916
3,2,2014,84.579375,20916
3,3,2013,29.69611111,20916
3,4,2013,43.898125,20916
3,5,2013,77.37252183,20916
3,6,2013,76.34875,20916
3,7,2013,74.77854167,20916
3,8,2013,73.54534722,20916
3,9,2013,41.51541667,20916
3,10,2012,41.02555556,20916
3,10,2013,72.30430857,20916
3,11,2012,41.30256944,20916
3,11,2013,74.57241667,20916
3,12,2012,41.669375,20916
3,12,2013,77.50326389,20916
4,1,2013,41.97694444,20916
4,1,2014,81.67680556,20916
4,2,2013,29.09826389,20916
4,2,2014,84.27965278,20916
4,3,2013,29.69805556,20916
4,4,2013,43.87152778,20916
4,5,2013,77.38118056,20916
4,6,2013,76.29777778,20916
4,7,2013,74.74555556,20916
4,8,2013,73.54368056,20916
4,9,2013,41.49083333,20916
4,10,2012,41.05930556,20916
4,10,2013,72.2975,20916
4,11,2012,41.31854167,20916
4,11,2013,74.1948601,20916
4,12,2012,41.66256944,20916
4,12,2013,78.47878472,20916
5,1,2013,41.95958333,20916
5,1,2014,88.24729167,20916
5,2,2013,29.13222222,20916
5,2,2014,83.79298611,20916
5,3,2013,29.70347222,20916
5,4,2013,43.88590278,20916
5,5,2013,77.38305556,20916
5,6,2013,76.29076389,20916
5,7,2013,74.71215278,20916
5,8,2013,73.5225,20916
5,9,2013,41.48763889,20916
5,10,2012,41.09041667,20916
5,10,2013,72.32520833,20916
5,11,2012,41.33166667,20916
5,11,2013,72.3877421,20916
5,12,2012,41.66972222,20916
5,12,2013,79.36333333,20916
6,1,2013,41.97034722,20916
6,1,2014,85.72895833,20916
6,2,2013,29.18756944,20916
