 ******* Program HYDRUS
 ******* 
 infiltration of water to soil                                           
 Date:  27. 4.    Time:  20:41:50
 Units: L = cm   , T = hours, M = mmol 



                               Node( 10)                      Node( 15)                      Node( 21)                      Node( 26)                      Node( 30)                      Node( 33)

         time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
         43.0000      -23.11  0.4455  0.384E-01          9.02  0.5000 -0.918E-05         41.64  0.5029 -0.152E-04         69.60  0.5029 -0.797E-05        101.64  0.5029 -0.143E-04        131.30  0.5029  0.000E+00
         44.0000      -23.46  0.4445  0.376E-01          8.68  0.5000 -0.921E-05         41.30  0.5029 -0.152E-04         69.26  0.5029 -0.797E-05        101.30  0.5029 -0.143E-04        130.96  0.5029  0.000E+00
         45.0000      -23.81  0.4436  0.369E-01          8.35  0.5000 -0.921E-05         40.96  0.5029 -0.152E-04         68.92  0.5029 -0.622E-05        100.96  0.5029 -0.143E-04        130.62  0.5029 -0.403E-05
         46.0000      -24.17  0.4427  0.363E-01          7.98  0.5000 -0.912E-05         40.60  0.5029 -0.152E-04         68.56  0.5029 -0.622E-05        100.60  0.5029 -0.143E-04        130.26  0.5029 -0.403E-05
         47.0000      -24.55  0.4416  0.359E-01          7.63  0.5000 -0.912E-05         40.25  0.5029 -0.152E-04         68.21  0.5029 -0.622E-05        100.25  0.5029 -0.143E-04        129.91  0.5029 -0.403E-05
         48.0000      -24.94  0.4406  0.354E-01          7.28  0.5000 -0.906E-05         39.90  0.5029 -0.152E-04         67.86  0.5029 -0.797E-05         99.90  0.5029 -0.143E-04        129.56  0.5029 -0.403E-05
         49.0000      -25.34  0.4396  0.349E-01          6.90  0.5000 -0.909E-05         39.51  0.5029 -0.152E-04         67.48  0.5029 -0.622E-05         99.51  0.5029 -0.143E-04        129.18  0.5029 -0.403E-05
         50.0000      -25.74  0.4386  0.343E-01          6.63  0.5000 -0.903E-05         39.24  0.5029 -0.152E-04         67.21  0.5029 -0.622E-05         99.24  0.5029 -0.143E-04        128.90  0.5029 -0.403E-05
         51.0000      -26.13  0.4377  0.339E-01          6.54  0.5000 -0.905E-05         39.15  0.5029 -0.152E-04         67.11  0.5029 -0.797E-05         99.15  0.5029 -0.143E-04        128.81  0.5029 -0.403E-05
         52.0000      -26.49  0.4367  0.338E-01          6.44  0.5000 -0.900E-05         39.05  0.5029 -0.152E-04         67.02  0.5029 -0.797E-05         99.05  0.5029 -0.143E-04        128.71  0.5029 -0.403E-05
         53.0000      -26.84  0.4359  0.336E-01          6.34  0.5000 -0.908E-05         38.95  0.5029 -0.152E-04         66.91  0.5029 -0.797E-05         98.95  0.5029 -0.143E-04        128.61  0.5029 -0.403E-05
         54.0000      -27.17  0.4350  0.334E-01          6.23  0.5000 -0.904E-05         38.84  0.5029 -0.152E-04         66.81  0.5029 -0.797E-05         98.84  0.5029 -0.143E-04        128.51  0.5029  0.000E+00
         55.0000      -27.49  0.4343  0.332E-01          6.13  0.5000 -0.902E-05         38.74  0.5029 -0.152E-04         66.71  0.5029 -0.797E-05         98.74  0.5029 -0.143E-04        128.40  0.5029  0.000E+00
         56.0000      -27.80  0.4335  0.330E-01          6.03  0.5000 -0.905E-05         38.64  0.5029 -0.152E-04         66.60  0.5029 -0.622E-05         98.64  0.5029 -0.143E-04        128.30  0.5029 -0.403E-05
         57.0000      -28.09  0.4327  0.327E-01          5.92  0.5000 -0.899E-05         38.54  0.5029 -0.152E-04         66.50  0.5029 -0.622E-05         98.54  0.5029 -0.143E-04        128.20  0.5029 -0.403E-05
         58.0000      -28.39  0.4320  0.325E-01          5.82  0.5000 -0.906E-05         38.43  0.5029 -0.152E-04         66.40  0.5029 -0.797E-05         98.43  0.5029 -0.143E-04        128.10  0.5029  0.000E+00
         59.0000      -28.67  0.4313  0.322E-01          5.72  0.5000 -0.906E-05         38.33  0.5029 -0.152E-04         66.30  0.5029 -0.622E-05         98.33  0.5029 -0.143E-04        128.00  0.5029  0.000E+00
         60.0000      -28.96  0.4306  0.318E-01          5.62  0.5000 -0.901E-05         38.23  0.5029 -0.152E-04         66.20  0.5029 -0.622E-05         98.23  0.5029 -0.143E-04        127.90  0.5029  0.000E+00
         61.0000      -29.24  0.4299  0.313E-01          5.52  0.5000 -0.903E-05         38.13  0.5029 -0.152E-04         66.10  0.5029 -0.797E-05         98.13  0.5029 -0.143E-04        127.79  0.5029  0.000E+00
         62.0000      -29.52  0.4292  0.309E-01          5.42  0.5000 -0.905E-05         38.03  0.5029 -0.152E-04         66.00  0.5029 -0.622E-05         98.03  0.5029 -0.143E-04        127.69  0.5029  0.000E+00
         63.0000      -29.80  0.4285  0.305E-01          5.32  0.5000 -0.903E-05         37.93  0.5029 -0.152E-04         65.90  0.5029 -0.622E-05         97.93  0.5029 -0.143E-04        127.59  0.5029  0.000E+00
         64.0000      -30.07  0.4278  0.302E-01          5.22  0.5000 -0.901E-05         37.83  0.5029 -0.152E-04         65.80  0.5029 -0.622E-05         97.83  0.5029 -0.143E-04        127.49  0.5029  0.000E+00
         65.0000      -30.34  0.4271  0.298E-01          5.12  0.5000 -0.901E-05         37.73  0.5029 -0.152E-04         65.70  0.5029 -0.797E-05         97.73  0.5029 -0.143E-04        127.40  0.5029  0.000E+00
         66.0000      -30.61  0.4264  0.294E-01          5.02  0.5000 -0.899E-05         37.64  0.5029 -0.152E-04         65.60  0.5029 -0.622E-05         97.64  0.5029 -0.143E-04        127.30  0.5029  0.000E+00
         67.0000      -30.88  0.4258  0.291E-01          4.93  0.5000 -0.902E-05         37.54  0.5029 -0.152E-04         65.50  0.5029 -0.797E-05         97.54  0.5029 -0.143E-04        127.20  0.5029  0.000E+00
         68.0000      -31.16  0.4251  0.288E-01          4.83  0.5000 -0.901E-05         37.44  0.5029 -0.152E-04         65.41  0.5029 -0.797E-05         97.44  0.5029 -0.143E-04        127.10  0.5029  0.000E+00
         69.0000      -31.45  0.4245  0.285E-01          4.73  0.5000 -0.899E-05         37.35  0.5029 -0.152E-04         65.31  0.5029 -0.622E-05         97.35  0.5029 -0.143E-04        127.01  0.5029  0.000E+00
         70.0000      -31.73  0.4239  0.281E-01          4.63  0.5000 -0.895E-05         37.25  0.5029 -0.152E-04         65.21  0.5029 -0.797E-05         97.25  0.5029 -0.143E-04        126.91  0.5029  0.000E+00
         71.0000      -32.02  0.4232  0.279E-01          4.54  0.5000 -0.894E-05         37.15  0.5029 -0.152E-04         65.11  0.5029 -0.797E-05         97.15  0.5029 -0.143E-04        126.81  0.5029  0.000E+00
         72.0000      -32.31  0.4225  0.276E-01          4.44  0.5000 -0.896E-05         37.05  0.5029 -0.152E-04         65.02  0.5029 -0.622E-05         97.05  0.5029 -0.143E-04        126.72  0.5029  0.000E+00
         73.0000      -32.59  0.4219  0.273E-01          4.35  0.5000 -0.895E-05         36.96  0.5029 -0.152E-04         64.92  0.5029 -0.622E-05         96.96  0.5029 -0.143E-04        126.62  0.5029  0.000E+00
         74.0000      -32.87  0.4212  0.270E-01          4.25  0.5000 -0.899E-05         36.87  0.5029 -0.152E-04         64.83  0.5029 -0.797E-05         96.87  0.5029 -0.143E-04        126.53  0.5029  0.000E+00
         75.0000      -33.16  0.4206  0.267E-01          4.16  0.5000 -0.896E-05         36.77  0.5029 -0.152E-04         64.73  0.5029 -0.622E-05         96.77  0.5029 -0.143E-04        126.43  0.5029  0.000E+00
         76.0000      -33.44  0.4200  0.264E-01          4.06  0.5000 -0.893E-05         36.67  0.5029 -0.152E-04         64.64  0.5029 -0.797E-05         96.67  0.5029 -0.143E-04        126.34  0.5029  0.000E+00
         77.0000      -33.72  0.4193  0.262E-01          3.97  0.5000 -0.895E-05         36.58  0.5029 -0.152E-04         64.54  0.5029 -0.622E-05         96.58  0.5029 -0.143E-04        126.24  0.5029  0.000E+00
         78.0000      -34.01  0.4187  0.259E-01          3.87  0.5000 -0.899E-05         36.49  0.5029 -0.152E-04         64.45  0.5029 -0.797E-05         96.49  0.5029 -0.143E-04        126.15  0.5029  0.000E+00
         79.0000      -34.30  0.4180  0.256E-01          3.78  0.5000 -0.895E-05         36.39  0.5029 -0.152E-04         64.36  0.5029 -0.622E-05         96.39  0.5029 -0.143E-04        126.06  0.5029  0.000E+00
         80.0000      -34.59  0.4173  0.253E-01          3.69  0.5000 -0.895E-05         36.30  0.5029 -0.152E-04         64.27  0.5029 -0.622E-05         96.30  0.5029 -0.143E-04        125.97  0.5029  0.000E+00
         81.0000      -34.89  0.4167  0.251E-01          3.59  0.5000 -0.894E-05         36.21  0.5029 -0.152E-04         64.17  0.5029 -0.622E-05         96.21  0.5029 -0.143E-04        125.87  0.5029  0.000E+00
         82.0000      -35.18  0.4160  0.248E-01          3.50  0.5000 -0.894E-05         36.11  0.5029 -0.152E-04         64.08  0.5029 -0.622E-05         96.11  0.5029 -0.143E-04        125.77  0.5029  0.000E+00
         83.0000      -35.48  0.4153  0.245E-01          3.40  0.5000 -0.890E-05         36.02  0.5029 -0.152E-04         63.98  0.5029 -0.622E-05         96.02  0.5029 -0.143E-04        125.68  0.5029  0.000E+00
         84.0000      -35.77  0.4147  0.242E-01          3.31  0.5000 -0.893E-05         35.92  0.5029 -0.152E-04         63.89  0.5029 -0.477E-05         95.92  0.5029 -0.143E-04        125.59  0.5029  0.000E+00
         85.0000      -36.06  0.4140  0.240E-01          3.22  0.5000 -0.893E-05         35.83  0.5029 -0.138E-04         63.80  0.5029 -0.622E-05         95.83  0.5029 -0.143E-04        125.49  0.5029  0.000E+00
         86.0000      -36.35  0.4133  0.237E-01          3.13  0.5000 -0.889E-05         35.74  0.5029 -0.152E-04         63.71  0.5029 -0.477E-05         95.74  0.5029 -0.143E-04        125.41  0.5029  0.000E+00
         87.0000      -36.64  0.4127  0.234E-01          3.04  0.5000 -0.892E-05         35.65  0.5029 -0.152E-04         63.62  0.5029 -0.622E-05         95.66  0.5029 -0.143E-04        125.32  0.5029  0.000E+00
         88.0000      -36.92  0.4120  0.232E-01          2.95  0.5000 -0.892E-05         35.56  0.5029 -0.138E-04         63.53  0.5029 -0.622E-05         95.56  0.5029 -0.143E-04        125.23  0.5029  0.000E+00
         89.0000      -37.21  0.4114  0.229E-01          2.86  0.5000 -0.890E-05         35.47  0.5029 -0.138E-04         63.43  0.5029 -0.477E-05         95.47  0.5029 -0.143E-04        125.13  0.5029  0.000E+00
         90.0000      -37.50  0.4107  0.225E-01          2.76  0.5000 -0.885E-05         35.38  0.5029 -0.152E-04         63.34  0.5029 -0.477E-05         95.38  0.5029 -0.143E-04        125.04  0.5029  0.000E+00
         91.0000      -37.79  0.4101  0.222E-01          2.67  0.5000 -0.892E-05         35.28  0.5029 -0.152E-04         63.25  0.5029 -0.622E-05         95.28  0.5029 -0.143E-04        124.95  0.5029  0.000E+00
         92.0000      -38.08  0.4094  0.219E-01          2.58  0.5000 -0.885E-05         35.19  0.5029 -0.138E-04         63.16  0.5029 -0.622E-05         95.19  0.5029 -0.143E-04        124.85  0.5029  0.000E+00
         93.0000      -38.39  0.4088  0.216E-01          2.49  0.5000 -0.890E-05         35.10  0.5029 -0.138E-04         63.07  0.5029 -0.477E-05         95.10  0.5029 -0.143E-04        124.76  0.5029  0.000E+00
         94.0000      -38.69  0.4082  0.214E-01          2.40  0.5000 -0.884E-05         35.01  0.5029 -0.152E-04         62.98  0.5029 -0.622E-05         95.01  0.5029 -0.143E-04        124.68  0.5029  0.000E+00
         95.0000      -38.98  0.4076  0.211E-01          2.31  0.5000 -0.890E-05         34.93  0.5029 -0.152E-04         62.89  0.5029 -0.477E-05         94.93  0.5029 -0.143E-04        124.59  0.5029  0.000E+00
         96.0000      -39.27  0.4070  0.209E-01          2.23  0.5000 -0.888E-05         34.84  0.5029 -0.152E-04         62.81  0.5029 -0.477E-05         94.84  0.5029 -0.143E-04        124.50  0.5029  0.000E+00
         97.0000      -39.55  0.4064  0.207E-01          2.15  0.5000 -0.889E-05         34.76  0.5029 -0.138E-04         62.72  0.5029 -0.622E-05         94.76  0.5029 -0.143E-04        124.42  0.5029  0.000E+00
         98.0000      -39.85  0.4058  0.206E-01          2.05  0.5000 -0.884E-05         34.66  0.5029 -0.138E-04         62.63  0.5029 -0.622E-05         94.66  0.5029 -0.143E-04        124.33  0.5029  0.000E+00
         99.0000      -40.14  0.4052  0.204E-01          1.96  0.5000 -0.892E-05         34.57  0.5029 -0.152E-04         62.54  0.5029 -0.622E-05         94.57  0.5029 -0.143E-04        124.23  0.5029  0.000E+00
        100.0000      -40.43  0.4047  0.202E-01          1.87  0.5000 -0.889E-05         34.48  0.5029 -0.138E-04         62.44  0.5029 -0.477E-05         94.48  0.5029 -0.143E-04        124.14  0.5029  0.000E+00
        101.0000      -40.72  0.4041  0.200E-01          1.78  0.5000 -0.888E-05         34.39  0.5029 -0.138E-04         62.35  0.5029 -0.477E-05         94.39  0.5029 -0.143E-04        124.05  0.5029  0.000E+00
        102.0000      -41.00  0.4035  0.198E-01          1.69  0.5000 -0.885E-05         34.30  0.5029 -0.152E-04         62.26  0.5029 -0.477E-05         94.30  0.5029 -0.143E-04        123.96  0.5029  0.000E+00
        103.0000      -41.28  0.4030  0.196E-01          1.60  0.5000 -0.887E-05         34.21  0.5029 -0.138E-04         62.18  0.5029 -0.622E-05         94.21  0.5029 -0.143E-04        123.87  0.5029  0.000E+00
        104.0000      -41.56  0.4024  0.193E-01          1.51  0.5000 -0.883E-05         34.12  0.5029 -0.152E-04         62.09  0.5029 -0.622E-05         94.12  0.5029 -0.143E-04        123.79  0.5029  0.000E+00
        105.0000      -41.84  0.4018  0.191E-01          1.43  0.5000 -0.883E-05         34.04  0.5029 -0.152E-04         62.00  0.5029 -0.622E-05         94.04  0.5029 -0.143E-04        123.70  0.5029  0.000E+00
        106.0000      -42.13  0.4013  0.189E-01          1.34  0.5000 -0.882E-05         33.95  0.5029 -0.138E-04         61.92  0.5029 -0.622E-05         93.95  0.5029 -0.143E-04        123.62  0.5029  0.000E+00
        107.0000      -42.42  0.4007  0.187E-01          1.26  0.5000 -0.882E-05         33.87  0.5029 -0.138E-04         61.83  0.5029 -0.622E-05         93.87  0.5029 -0.143E-04        123.53  0.5029  0.000E+00
        108.0000      -42.71  0.4001  0.185E-01          1.18  0.5000 -0.882E-05         33.79  0.5029 -0.138E-04         61.75  0.5029 -0.622E-05         93.79  0.5029 -0.143E-04        123.45  0.5029  0.000E+00
        109.0000      -42.99  0.3995  0.183E-01          1.10  0.5000 -0.884E-05         33.71  0.5029 -0.138E-04         61.67  0.5029 -0.622E-05         93.71  0.5029 -0.143E-04        123.37  0.5029  0.000E+00
        110.0000      -43.28  0.3990  0.181E-01          1.01  0.5000 -0.882E-05         33.62  0.5029 -0.138E-04         61.59  0.5029 -0.622E-05         93.62  0.5029 -0.143E-04        123.28  0.5029  0.000E+00
        111.0000      -43.56  0.3984  0.178E-01          0.92  0.5000 -0.879E-05         33.53  0.5029 -0.152E-04         61.49  0.5029 -0.622E-05         93.53  0.5029 -0.143E-04        123.19  0.5029  0.000E+00
        112.0000      -43.84  0.3978  0.176E-01          0.83  0.5000 -0.883E-05         33.44  0.5029 -0.138E-04         61.40  0.5029 -0.477E-05         93.44  0.5029 -0.143E-04        123.10  0.5029  0.000E+00
        113.0000      -44.12  0.3973  0.174E-01          0.74  0.5000 -0.882E-05         33.35  0.5029 -0.152E-04         61.31  0.5029 -0.622E-05         93.35  0.5029 -0.143E-04        123.01  0.5029  0.000E+00
        114.0000      -44.40  0.3967  0.172E-01          0.65  0.5000 -0.879E-05         33.26  0.5029 -0.138E-04         61.23  0.5029 -0.477E-05         93.26  0.5029 -0.143E-04        122.92  0.5029  0.000E+00
        115.0000      -44.68  0.3961  0.171E-01          0.56  0.5000 -0.882E-05         33.17  0.5029 -0.138E-04         61.14  0.5029 -0.622E-05         93.17  0.5029 -0.143E-04        122.84  0.5029  0.000E+00
        116.0000      -44.96  0.3956  0.169E-01          0.48  0.5000 -0.879E-05         33.09  0.5029 -0.152E-04         61.05  0.5029 -0.622E-05         93.09  0.5029 -0.143E-04        122.75  0.5029  0.000E+00
        117.0000      -45.23  0.3950  0.167E-01          0.39  0.5000 -0.882E-05         33.00  0.5029 -0.152E-04         60.97  0.5029 -0.622E-05         93.00  0.5029 -0.143E-04        122.67  0.5029  0.000E+00
        118.0000      -45.51  0.3945  0.165E-01          0.31  0.5000 -0.879E-05         32.92  0.5029 -0.138E-04         60.88  0.5029 -0.477E-05         92.92  0.5029 -0.143E-04        122.58  0.5029  0.000E+00
        119.0000      -45.79  0.3939  0.163E-01          0.23  0.5000 -0.878E-05         32.84  0.5029 -0.138E-04         60.80  0.5029 -0.622E-05         92.84  0.5029 -0.143E-04        122.50  0.5029  0.000E+00
        120.0000      -46.06  0.3934  0.162E-01          0.14  0.5000 -0.881E-05         32.76  0.5029 -0.138E-04         60.72  0.5029 -0.477E-05         92.76  0.5029 -0.143E-04        122.42  0.5029  0.000E+00
        121.0000      -46.34  0.3928  0.160E-01          0.06  0.5000 -0.878E-05         32.68  0.5029 -0.152E-04         60.64  0.5029 -0.622E-05         92.68  0.5029 -0.143E-04        122.34  0.5029  0.000E+00
        122.0000      -46.60  0.3923  0.158E-01          0.00  0.5000  0.287E-03         32.61  0.5029 -0.138E-04         60.57  0.5029 -0.477E-05         92.61  0.5029 -0.143E-04        122.27  0.5029  0.000E+00
        123.0000      -46.88  0.3917  0.157E-01         -0.03  0.4998  0.845E-03         32.58  0.5029 -0.138E-04         60.55  0.5029 -0.477E-05         92.58  0.5029 -0.143E-04        122.25  0.5029  0.000E+00
        124.0000      -47.15  0.3912  0.155E-01         -0.06  0.4995  0.103E-02         32.56  0.5029 -0.138E-04         60.52  0.5029 -0.477E-05         92.56  0.5029 -0.143E-04        122.22  0.5029  0.000E+00
